<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19940908,000000,1.1161,1.1233,1.1038,1.1195,45746248,0
AAPL.US,D,19940909,000000,1.1088,1.1161,1.0972,1.1088,45284996,0
AAPL.US,D,19940912,000000,1.1038,1.1088,1.0972,1.1088,26076212,0
AAPL.US,D,19940913,000000,1.1088,1.1233,1.1038,1.1112,30017951,0
AAPL.US,D,19940914,000000,1.1038,1.1088,1.085,1.0888,28537367,0
AAPL.US,D,19940915,000000,1.0888,1.1195,1.0888,1.1161,74580393,0
AAPL.US,D,19940916,000000,1.1125,1.1544,1.1011,1.1286,104875762,0
AAPL.US,D,19940919,000000,1.1286,1.1395,1.1011,1.1011,50213793,0
AAPL.US,D,19940920,000000,1.0888,1.0972,1.0666,1.0715,56810259,0
AAPL.US,D,19940921,000000,1.0689,1.0728,1.0466,1.0578,67635561,0
AAPL.US,D,19940922,000000,1.0613,1.0613,1.0417,1.0503,42117392,0
AAPL.US,D,19940923,000000,1.0503,1.0689,1.0503,1.0514,38269179,0
AAPL.US,D,19940926,000000,1.0503,1.0689,1.0417,1.0514,40811007,0
AAPL.US,D,19940927,000000,1.0466,1.0578,1.0355,1.0503,31417911,0
AAPL.US,D,19940928,000000,1.0541,1.0666,1.0417,1.0503,23405355,0
AAPL.US,D,19940929,000000,1.0466,1.0666,1.0355,1.0578,31501755,0
AAPL.US,D,19940930,000000,1.0578,1.0689,1.0417,1.0443,20650640,0
AAPL.US,D,19941003,000000,1.0417,1.0466,1.007,1.0268,37324060,0
AAPL.US,D,19941004,000000,1.0304,1.0541,1.0232,1.0466,46768791,0
AAPL.US,D,19941005,000000,1.0417,1.1817,1.0355,1.1744,204425950,0
AAPL.US,D,19941006,000000,1.1594,1.1619,1.1161,1.1233,151754215,0
AAPL.US,D,19941007,000000,1.1195,1.1495,1.1011,1.1469,104946720,0
AAPL.US,D,19941010,000000,1.1508,1.2275,1.1469,1.2051,150744595,0
AAPL.US,D,19941011,000000,1.2834,1.2984,1.2215,1.2275,242588699,0
AAPL.US,D,19941012,000000,1.2275,1.3208,1.2129,1.3058,172030698,0
AAPL.US,D,19941013,000000,1.3208,1.3293,1.2585,1.2748,151289733,0
AAPL.US,D,19941014,000000,1.2872,1.302,1.2676,1.2748,50704089,0
AAPL.US,D,19941017,000000,1.2676,1.2872,1.2051,1.2326,87550772,0
AAPL.US,D,19941018,000000,1.2585,1.2898,1.2546,1.2783,134984025,0
AAPL.US,D,19941019,000000,1.2711,1.3058,1.2711,1.2783,101114634,0
